Model,MAE,RMSE,R2
VAR_Hybrid_insei_mdeberta_final,0.3479526221696961,0.4962326941829158,0.014201817200085398
VAR_Hybrid_insei_gemini_final,0.3495389533979089,0.49627935040242765,0.014016437320324537
VAR_Hybrid_insei_indolem_final,0.3483542901904033,0.49692041668048287,0.011467513792499662
VAR_Hybrid_insei_indobert_final,0.3493803472095072,0.4996521704590809,0.0005689880594067498
VAR_Baseline_AR_Only,0.35033778108909047,0.5011684401815246,-0.005506063498889713
LSTM_Baseline_AR_Only,0.3508217456124046,0.5012274227059461,-0.005742753486242869
LSTM_Hybrid_insei_gemini_final,0.3548365848714655,0.5032762931169132,-0.013981920433203898
LSTM_Hybrid_insei_mdeberta_final,0.35516285072673454,0.5033691688239721,-0.0143561998445636
LSTM_Hybrid_insei_indolem_final,0.3543673231384971,0.503548649639963,-0.015079684502938173
LSTM_Hybrid_insei_indobert_final,0.3571406316757202,0.5061021381150081,-0.02540069821893276
Ridge_Hybrid_insei_indolem_final,0.6013807097791051,0.7191502853405796,-0.06720496917192431
Ridge_Hybrid_insei_mdeberta_final,0.6006004334271144,0.7226381685871046,-0.07758197371267284
Ridge_Hybrid_insei_gemini_final,0.6156675343877056,0.737028083689302,-0.12092510899864561
Ridge_Hybrid_insei_indobert_final,0.6222730968393609,0.7445614432977454,-0.14395676276260216
Ridge_Baseline_AR_Only,0.6263707664789862,0.7560195754598034,-0.1794366148346842
