Model,MAE,RMSE,R2
VAR_Hybrid_insei_indolem_lagged_raw,0.35688355375693964,0.49439973238197255,0.02147096030526585
VAR_Hybrid_insei_gemini_lagged_raw,0.3593697353514464,0.4950352800989547,0.018953557556479317
VAR_Hybrid_insei_mdeberta_lagged_raw,0.35714676687169117,0.4951236778795471,0.01860315800072576
VAR_Hybrid_insei_indobert_lagged_raw,0.3555352562356476,0.49781087852172956,0.007921516826689068
VAR_Baseline_AR_Only,0.34990256306805506,0.5002172354018488,-0.0016928364650703465
LSTM_Hybrid_insei_indolem_lagged_raw,0.3552608303590254,0.5003086228570564,-0.002058879515635992
LSTM_Baseline_AR_Only,0.35154880913821135,0.5008304545616603,-0.004150303768442942
LSTM_Hybrid_insei_gemini_lagged_raw,0.3574952080033042,0.5020503819988161,-0.009048098688889672
LSTM_Hybrid_insei_mdeberta_lagged_raw,0.3593409091776067,0.5024089404297836,-0.010489913748152446
LSTM_Hybrid_insei_indobert_lagged_raw,0.3594170019843361,0.5040643601439552,-0.01715994157997769
Ridge_Hybrid_insei_indolem_lagged_raw,0.5789249604860017,0.7123246129567257,-0.047042779279685254
Ridge_Hybrid_insei_mdeberta_lagged_raw,0.5897504689023004,0.730120671561045,-0.10001298993776708
Ridge_Hybrid_insei_indobert_lagged_raw,0.611633620637973,0.7428834222250394,-0.13880629335564643
Ridge_Hybrid_insei_gemini_lagged_raw,0.6117751970166204,0.7441731981528711,-0.14276406102460437
Ridge_Baseline_AR_Only,0.6197442319292028,0.7509149434602401,-0.1635633104459382
