Model,MAE,RMSE,R2
VAR_Baseline_AR_Only,0.34990256306805506,0.5002172354018488,-0.0016928364650703465
LSTM_Baseline_AR_Only,0.3513504134524952,0.5008154363605855,-0.004090082570122666
VAR_Hybrid_insei_indobert_raw,0.3560893011587036,0.5041621692370944,-0.0175547211027971
LSTM_Hybrid_insei_indobert_raw,0.3595057821273803,0.5050534052660878,-0.021155479180827275
VAR_Hybrid_insei_mdeberta_raw,0.35451763811914555,0.5065023716598417,-0.027023145550014505
LSTM_Hybrid_insei_mdeberta_raw,0.3617107052152807,0.5071652740490608,-0.029713208443383765
LSTM_Hybrid_insei_gemini_raw,0.36331181428649206,0.508258097496788,-0.03415557534328073
LSTM_Hybrid_insei_indolem_raw,0.36350922877138314,0.508442110950519,-0.03490453729227627
VAR_Hybrid_insei_indolem_raw,0.35983573189601975,0.5085912782613708,-0.03551186925274097
VAR_Hybrid_insei_gemini_raw,0.35816009702185114,0.5095640673834545,-0.039476931558521056
Ridge_Hybrid_insei_indolem_raw,0.5825906138194855,0.7298782587379404,-0.09928266412371212
Ridge_Hybrid_insei_indobert_raw,0.598242524394189,0.7403695914615942,-0.1311121583813093
Ridge_Hybrid_insei_mdeberta_raw,0.5939476432084302,0.7462726594330743,-0.14922108796434497
Ridge_Baseline_AR_Only,0.6197442319292028,0.7509149434602401,-0.1635633104459382
Ridge_Hybrid_insei_gemini_raw,0.6220456547838012,0.7728348812386087,-0.23248588792014657
